a replica e tempestiva,naosentenca
a réplica é tempestiva,naosentenca
ainda nao transitou em julgado,naosentenca
ajuste correicional,naosentenca
ajuste correicional conclusos para sentenca,naosentenca
alvara assinado e enviado sidejud,naosentenca
alvara assinado e enviado sidejud aguardando confirmacao de transferencia,naosentenca
apenso o processo,naosentenca
apos a conclusao para julgamento,naosentenca
arquivado definitivamente,naosentenca
arquivado definitivamente definitivo,naosentenca
arquivado provisoramente,naosentenca
arquivamento,naosentenca
arquivamento - definitivo,naosentenca
arquivem-se os autos,naosentenca
arquive-se os autos,naosentenca
assistencia judiciaria gratuita nao concedida,naosentenca
ato ordinatório,naosentenca
ato ordinatório praticado,naosentenca
ato ordinatorio praticado    ,naosentenca
ato ordinatorio praticado generico - instituicao,naosentenca
atualizacao da avaliacao da penhora n protocolo,naosentenca
audiencia conciliacao - art. 334 cpc,naosentenca
audiência conciliação - art. 334 cpc,naosentenca
audiencia conciliacao designada,naosentenca
audiencia de instrucao realizada,naosentenca
audiencia designada certifico conforme me faculta a lei,naosentenca
audiencia designada conciliatoria,naosentenca
audiencia designada pericia,naosentenca
audiencia instrucao designada,naosentenca
audiencia instrucao e julgamento,naosentenca
audiencia instrucao e julgamento designada,naosentenca
audiencia instrucao e julgamento redesignada,naosentenca
audiencia instrucao realizada,naosentenca
audiencia instrucao redesignada,naosentenca
audiencia realizada,naosentenca
audiencia saneamento e organizacao designada,naosentenca
audiencia saneamento e organizacao realizada,naosentenca
audiencia tentativa de conciliacao designada,naosentenca
autos com peticao recebidos no protocolo geral,naosentenca
autos entregues em carga,naosentenca
autos entregues em carga ao acionante,naosentenca
autos entregues em carga ao advogado,naosentenca
autos entregues em carga ao advogado do acionante,naosentenca
autos entregues em carga ao advogado(a),naosentenca
autos entregues em carga ao defensor publico,naosentenca
autos entregues em carga ao ministerio publico,naosentenca
autos recebidos no protocolo geral,naosentenca
baixa definitiva,naosentenca
cancelamento de movimentacao processual,naosentenca
carga a defensoria publica,naosentenca
carga advogado do autor,naosentenca
carga mp,naosentenca
carga perito,naosentenca
carga terceiro,naosentenca
certidao emitida,naosentenca
Certidão emitida,naosentenca
certidao emitida  ,naosentenca
certificada a publicacao,naosentenca
certificado a tempestividade tempestividade,naosentenca
certificado pelo oficial de justica certidao generica,naosentenca
certificado pelo oficial de justica citacao positiva,naosentenca
certificado pelo oficial de justica devolucao zona incorreta,naosentenca
certificado pelo oficial de justica intimacao negativa,naosentenca
certificado pelo oficial de justica penhora positiva intimacao positiva,naosentenca
certitifcado decurso de prazo sem impugnacao,naosentenca
ciencia confirmada refer ao evento,naosentenca
ciencia expedida certificada,naosentenca
ciencia expedidacertificada,naosentenca
citacao ou notificacao da parte,naosentenca
citacao por carta,naosentenca
classe originaria evoluida,naosentenca
classe processual,naosentenca
comprovante de recolhimento de custas,naosentenca
comunicacao eletronica recebida,naosentenca
concedida a antecipacao de tutela,naosentenca
concedida a assistencia judiciaria gratuita a nome da parte,naosentenca
concedida a assistencia judiciaria gratuita a parte,naosentenca
concedida a medida liminar,naosentenca
concedida em parte a medida liminar,naosentenca
conclusao ao juiz,naosentenca
conclusão ao juiz,naosentenca
conclusao para decisao,naosentenca
conclusao para despacho,naosentenca
conclusao para julgamento,naosentenca
concluso para decisao interlocutoria,naosentenca
concluso para despacho,naosentenca
concluso para sentenca,naosentenca
Concluso para sentença,naosentenca
conclusos,naosentenca
conclusos cancelado pelo usuario,naosentenca
conclusos para decisao,naosentenca
conclusos para decisao interlocutoria,naosentenca
conclusos para julgamento,naosentenca
conclusos para o gabinete,naosentenca
conclusos para sentenca,naosentenca
Conclusos para sentença,naosentenca
conclusos partes,naosentenca
convertido o julgamento em diligencia,naosentenca
convertido(a) o(a) julgamento em diligencia,naosentenca
custas processuais pagas,naosentenca
decisao - decisao determinacao,naosentenca
decisão - decisão determinação,naosentenca
decisao conversao busca e apreensao em alienacao fiduciaria em execucao,naosentenca
decisao de saneamento com determinacao de pericia ,naosentenca
decisão interlocutória,naosentenca
decisao interlocutoria     ,naosentenca
decisao outras decisoes,naosentenca
decisao proferida vistos em inspecao,naosentenca
decisao requisita informacoes,naosentenca
decisao saneamento organizacao,naosentenca
declaracoes,naosentenca
declarada decadencia ou prescricao,naosentenca
declarada incompetencia,naosentenca
declinio de competencia,naosentenca
declinou competencia,naosentenca
decorrido o prazo,naosentenca
decurso de prazo,naosentenca
designacao de data,naosentenca
despacho - cite-se eletronicamente,naosentenca
despacho - proferido despacho de mero expediente,naosentenca
despacho conversao julgamento em diligencia,naosentenca
despacho decisao,naosentenca
despacho em audiencia,naosentenca
despacho mero expediente,naosentenca
despacho mero expediente deferindo o pedido,naosentenca
despacho/sentenca,naosentenca
Despacho/Sentença,naosentenca
despachodecisao,naosentenca
determinada requisicao de informacoes,naosentenca
determinado a citacao,naosentenca
determinado a citacao/notificacao  ,naosentenca
determinado a emenda da inicial ,naosentenca
determinado arquivamento ,naosentenca
determinado o arquivamento,naosentenca
determinado o cancelamento da distribuicao,naosentenca
determinado pericia   ,naosentenca
devolucao de correspondencia,naosentenca
digitacao de documentos,naosentenca
disponibilizado decisao no diario da justica eletronico,naosentenca
disponibilizado no dj eletronico,naosentenca
disponibilizado(a) decisao no diario da justica eletronico,naosentenca
documento (outros documentos),naosentenca
documento digitalizado,naosentenca
documento recebido no protocolo geral,naosentenca
documento(s) recebido(s) no protocolo geral,naosentenca
embargos à execução fiscal,naosentenca
embargos de declaracao acolhidos,naosentenca
embargos de declaracao acolhidos em parte,naosentenca
embargos de declaracao nao acolhidos,naosentenca
emenda da inicial,naosentenca
encaminhado edital relacao,naosentenca
encaminhado edital/relacao para publicacao,naosentenca
encaminhado editalrelacao para publicacao,naosentenca
